Ethnicity,Year,Region,Gender,Age,Socio-economic classification,Household income,Value
Other,"2014/15, 2015/16 and 2016/17",Bedfordshire,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",Cambridgeshire,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",Essex,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",Hertfordshire,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",Norfolk,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",Suffolk,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",London,All,16+,All,All,15.8
Other,"2014/15, 2015/16 and 2016/17",City of London / Metropolitan Police,All,16+,All,All,15.8
Other,"2014/15, 2015/16 and 2016/17",South East,All,16+,All,All,19.0
Other,"2014/15, 2015/16 and 2016/17",Hampshire,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",Kent,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",Surrey,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",Sussex,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",Thames Valley,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",South West,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",Avon and Somerset,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",Devon and Cornwall,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",Dorset,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",Gloucestershire,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",Wiltshire,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",Wales,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",Dyfed-Powys,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",Gwent,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",North Wales,All,16+,All,All,?
Other,"2014/15, 2015/16 and 2016/17",South Wales,All,16+,All,All,?
White,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,All,14.7
White,"2014/15, 2015/16 and 2016/17",North East,All,16+,All,All,13.2
White,"2014/15, 2015/16 and 2016/17",Cleveland,All,16+,All,All,16.5
White,"2014/15, 2015/16 and 2016/17",Durham,All,16+,All,All,14.0
White,"2014/15, 2015/16 and 2016/17",Northumbria,All,16+,All,All,11.7
White,"2014/15, 2015/16 and 2016/17",North West,All,16+,All,All,13.3
White,"2014/15, 2015/16 and 2016/17",Cheshire,All,16+,All,All,10.9
White,"2014/15, 2015/16 and 2016/17",Cumbria,All,16+,All,All,11.7
White,"2014/15, 2015/16 and 2016/17",Greater Manchester,All,16+,All,All,14.4
White,"2014/15, 2015/16 and 2016/17",Lancashire,All,16+,All,All,15.8
White,"2014/15, 2015/16 and 2016/17",Merseyside,All,16+,All,All,11.3
White,"2014/15, 2015/16 and 2016/17",Yorkshire and the Humber,All,16+,All,All,14.9
White,"2014/15, 2015/16 and 2016/17",Humberside,All,16+,All,All,17.3
White,"2014/15, 2015/16 and 2016/17",North Yorkshire,All,16+,All,All,9.2
White,"2014/15, 2015/16 and 2016/17",South Yorkshire,All,16+,All,All,18.0
White,"2014/15, 2015/16 and 2016/17",West Yorkshire,All,16+,All,All,14.1
White,"2014/15, 2015/16 and 2016/17",East Midlands,All,16+,All,All,16.2
White,"2014/15, 2015/16 and 2016/17",Derbyshire,All,16+,All,All,13.1
White,"2014/15, 2015/16 and 2016/17",Leicestershire,All,16+,All,All,20.5
White,"2014/15, 2015/16 and 2016/17",Lincolnshire,All,16+,All,All,13.8
White,"2014/15, 2015/16 and 2016/17",Northamptonshire,All,16+,All,All,19.8
White,"2014/15, 2015/16 and 2016/17",Nottinghamshire,All,16+,All,All,15.0
White,"2014/15, 2015/16 and 2016/17",West Midlands Region,All,16+,All,All,14.6
White,"2014/15, 2015/16 and 2016/17",Staffordshire,All,16+,All,All,12.7
White,"2014/15, 2015/16 and 2016/17",Warwickshire,All,16+,All,All,15.0
White,"2014/15, 2015/16 and 2016/17",West Mercia,All,16+,All,All,11.6
White,"2014/15, 2015/16 and 2016/17",West Midlands,All,16+,All,All,17.6
White,"2014/15, 2015/16 and 2016/17",East,All,16+,All,All,14.9
White,"2014/15, 2015/16 and 2016/17",Bedfordshire,All,16+,All,All,17.4
White,"2014/15, 2015/16 and 2016/17",Cambridgeshire,All,16+,All,All,16.0
White,"2014/15, 2015/16 and 2016/17",Essex,All,16+,All,All,16.1
White,"2014/15, 2015/16 and 2016/17",Hertfordshire,All,16+,All,All,13.9
White,"2014/15, 2015/16 and 2016/17",Norfolk,All,16+,All,All,12.5
White,"2014/15, 2015/16 and 2016/17",Suffolk,All,16+,All,All,13.6
White,"2014/15, 2015/16 and 2016/17",London,All,16+,All,All,17.4
White,"2014/15, 2015/16 and 2016/17",City of London / Metropolitan Police,All,16+,All,All,17.4
White,"2014/15, 2015/16 and 2016/17",South East,All,16+,All,All,15.4
White,"2014/15, 2015/16 and 2016/17",Hampshire,All,16+,All,All,14.2
White,"2014/15, 2015/16 and 2016/17",Kent,All,16+,All,All,17.3
White,"2014/15, 2015/16 and 2016/17",Surrey,All,16+,All,All,13.7
White,"2014/15, 2015/16 and 2016/17",Sussex,All,16+,All,All,15.9
White,"2014/15, 2015/16 and 2016/17",Thames Valley,All,16+,All,All,15.5
White,"2014/15, 2015/16 and 2016/17",South West,All,16+,All,All,12.2
White,"2014/15, 2015/16 and 2016/17",Avon and Somerset,All,16+,All,All,14.2
White,"2014/15, 2015/16 and 2016/17",Devon and Cornwall,All,16+,All,All,10.8
White,"2014/15, 2015/16 and 2016/17",Dorset,All,16+,All,All,12.5
White,"2014/15, 2015/16 and 2016/17",Gloucestershire,All,16+,All,All,9.9
White,"2014/15, 2015/16 and 2016/17",Wiltshire,All,16+,All,All,12.8
White,"2014/15, 2015/16 and 2016/17",Wales,All,16+,All,All,14.3
White,"2014/15, 2015/16 and 2016/17",Dyfed-Powys,All,16+,All,All,8.9
White,"2014/15, 2015/16 and 2016/17",Gwent,All,16+,All,All,19.9
White,"2014/15, 2015/16 and 2016/17",North Wales,All,16+,All,All,9.2
White,"2014/15, 2015/16 and 2016/17",South Wales,All,16+,All,All,16.9
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,All,17.2
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",North East,All,16+,All,All,19.1
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",Cleveland,All,16+,All,All,24.7
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",Durham,All,16+,All,All,?
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",Northumbria,All,16+,All,All,17.5
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",North West,All,16+,All,All,14.7
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",Cheshire,All,16+,All,All,?
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",Cumbria,All,16+,All,All,?
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",Greater Manchester,All,16+,All,All,15.2
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",Lancashire,All,16+,All,All,16.0
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",Merseyside,All,16+,All,All,13.7
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",Yorkshire and the Humber,All,16+,All,All,17.1
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",Humberside,All,16+,All,All,?
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",North Yorkshire,All,16+,All,All,?
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",South Yorkshire,All,16+,All,All,15.9
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",West Yorkshire,All,16+,All,All,18.6
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",East Midlands,All,16+,All,All,21.6
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",Derbyshire,All,16+,All,All,15.4
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",Leicestershire,All,16+,All,All,23.5
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",Lincolnshire,All,16+,All,All,?
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",Northamptonshire,All,16+,All,All,15.5
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",Nottinghamshire,All,16+,All,All,25.9
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",West Midlands Region,All,16+,All,All,17.3
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",Staffordshire,All,16+,All,All,18.2
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",Warwickshire,All,16+,All,All,14.1
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",West Mercia,All,16+,All,All,16.5
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",West Midlands,All,16+,All,All,17.5
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",East,All,16+,All,All,19.7
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",Bedfordshire,All,16+,All,All,20.6
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",Cambridgeshire,All,16+,All,All,20.4
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",Essex,All,16+,All,All,23.1
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",Hertfordshire,All,16+,All,All,16.6
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",Norfolk,All,16+,All,All,?
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",Suffolk,All,16+,All,All,22.4
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",London,All,16+,All,All,16.8
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",City of London / Metropolitan Police,All,16+,All,All,16.8
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",South East,All,16+,All,All,16.4
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",Hampshire,All,16+,All,All,19.0
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",Kent,All,16+,All,All,21.6
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",Surrey,All,16+,All,All,15.9
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",Sussex,All,16+,All,All,15.8
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",Thames Valley,All,16+,All,All,14.2
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",South West,All,16+,All,All,15.9
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",Avon and Somerset,All,16+,All,All,18.5
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",Devon and Cornwall,All,16+,All,All,?
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",Dorset,All,16+,All,All,11.3
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",Gloucestershire,All,16+,All,All,18.6
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",Wiltshire,All,16+,All,All,15.8
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",Wales,All,16+,All,All,21.9
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",Dyfed-Powys,All,16+,All,All,?
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",Gwent,All,16+,All,All,31.3
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",North Wales,All,16+,All,All,?
All other Ethnic groups,"2014/15, 2015/16 and 2016/17",South Wales,All,16+,All,All,21.5
White,"2014/15, 2015/16 and 2016/17",England and Wales,All,16-24,All,All,21.7
White,"2014/15, 2015/16 and 2016/17",England and Wales,All,25-34,All,All,18.7
White,"2014/15, 2015/16 and 2016/17",England and Wales,All,35-44,All,All,17.2
White,"2014/15, 2015/16 and 2016/17",England and Wales,All,45-54,All,All,16.2
White,"2014/15, 2015/16 and 2016/17",England and Wales,All,55-64,All,All,12.3
White,"2014/15, 2015/16 and 2016/17",England and Wales,All,65-74,All,All,8.4
White,"2014/15, 2015/16 and 2016/17",England and Wales,All,75+,All,All,5.3
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",England and Wales,All,16-24,All,All,26.5
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",England and Wales,All,25-34,All,All,24.9
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",England and Wales,All,35-44,All,All,23.0
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",England and Wales,All,45-54,All,All,22.2
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",England and Wales,All,55-64,All,All,12.8
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",England and Wales,All,65-74,All,All,2.8
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",England and Wales,All,75+,All,All,?
Asian/Asian British,"2014/15, 2015/16 and 2016/17",England and Wales,All,16-24,All,All,14.9
Asian/Asian British,"2014/15, 2015/16 and 2016/17",England and Wales,All,25-34,All,All,18.7
Asian/Asian British,"2014/15, 2015/16 and 2016/17",England and Wales,All,35-44,All,All,15.9
Asian/Asian British,"2014/15, 2015/16 and 2016/17",England and Wales,All,45-54,All,All,18.1
Asian/Asian British,"2014/15, 2015/16 and 2016/17",England and Wales,All,55-64,All,All,13.3
Asian/Asian British,"2014/15, 2015/16 and 2016/17",England and Wales,All,65-74,All,All,14.2
Asian/Asian British,"2014/15, 2015/16 and 2016/17",England and Wales,All,75+,All,All,9.0
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",England and Wales,All,16-24,All,All,23.1
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",England and Wales,All,25-34,All,All,20.3
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",England and Wales,All,35-44,All,All,17.1
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",England and Wales,All,45-54,All,All,18.6
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",England and Wales,All,55-64,All,All,12.5
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",England and Wales,All,65-74,All,All,5.5
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",England and Wales,All,75+,All,All,7.2
Other,"2014/15, 2015/16 and 2016/17",England and Wales,All,16-24,All,All,11.7
Other,"2014/15, 2015/16 and 2016/17",England and Wales,All,25-34,All,All,14.4
Other,"2014/15, 2015/16 and 2016/17",England and Wales,All,35-44,All,All,22.0
Other,"2014/15, 2015/16 and 2016/17",England and Wales,All,45-54,All,All,14.2
Other,"2014/15, 2015/16 and 2016/17",England and Wales,All,55-64,All,All,14.1
Other,"2014/15, 2015/16 and 2016/17",England and Wales,All,65-74,All,All,7.6
Other,"2014/15, 2015/16 and 2016/17",England and Wales,All,75+,All,All,?
White,"2014/15, 2015/16 and 2016/17",England and Wales,Male ,16+,All,All,15.2
White,"2014/15, 2015/16 and 2016/17",England and Wales,Female,16+,All,All,14.2
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",England and Wales,Male ,16+,All,All,20.8
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",England and Wales,Female,16+,All,All,25.2
Asian/Asian British,"2014/15, 2015/16 and 2016/17",England and Wales,Male ,16+,All,All,16.4
Asian/Asian British,"2014/15, 2015/16 and 2016/17",England and Wales,Female,16+,All,All,16.2
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",England and Wales,Male ,16+,All,All,18.2
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",England and Wales,Female,16+,All,All,17.4
Other,"2014/15, 2015/16 and 2016/17",England and Wales,Male ,16+,All,All,16.6
Other,"2014/15, 2015/16 and 2016/17",England and Wales,Female,16+,All,All,13.7
White,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,Managerial and professional occupations,All,14.7
White,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,Intermediate occupations,All,14.0
White,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,Routine and manual occupations,All,14.2
White,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,Never worked and long-term unemployed,All,16.5
White,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,Full time students,All,20.5
White,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,Not classified,All,10.9
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,Managerial and professional occupations,All,27.9
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,Intermediate occupations,All,19.6
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,Routine and manual occupations,All,21.6
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,Never worked and long-term unemployed,All,18.3
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,Full time students,All,20.8
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,Not classified,All,?
Asian/Asian British,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,Managerial and professional occupations,All,18.7
Asian/Asian British,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,Intermediate occupations,All,17.2
Asian/Asian British,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,Routine and manual occupations,All,15.3
Asian/Asian British,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,Never worked and long-term unemployed,All,14.5
Asian/Asian British,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,Full time students,All,13.8
Asian/Asian British,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,Not classified,All,6.7
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,Managerial and professional occupations,All,19.9
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,Intermediate occupations,All,16.9
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,Routine and manual occupations,All,17.6
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,Never worked and long-term unemployed,All,10.5
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,Full time students,All,20.1
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,Not classified,All,?
Other,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,Managerial and professional occupations,All,18.0
Other,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,Intermediate occupations,All,15.5
Other,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,Routine and manual occupations,All,16.0
Other,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,Never worked and long-term unemployed,All,18.2
Other,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,Full time students,All,8.1
Other,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,Not classified,All,?
White,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,"Less than £10,000",14.7
White,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,"£10,000 to less than £20,000",13.3
White,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,"£20,000 to less than £30,000",14.0
White,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,"£30,000 to less than £40,000",15.3
White,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,"£40,000 to less than £50,000",15.6
White,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,"£50,000 or more",16.7
White,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,No income stated/Not enough information provided ,13.3
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,"Less than £10,000",25.0
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,"£10,000 to less than £20,000",18.5
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,"£20,000 to less than £30,000",18.8
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,"£30,000 to less than £40,000",30.9
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,"£40,000 to less than £50,000",24.3
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,"£50,000 or more",27.2
Mixed/Multiple,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,No income stated/Not enough information provided ,19.2
Asian/Asian British,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,"Less than £10,000",17.2
Asian/Asian British,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,"£10,000 to less than £20,000",15.4
Asian/Asian British,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,"£20,000 to less than £30,000",17.9
Asian/Asian British,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,"£30,000 to less than £40,000",16.8
Asian/Asian British,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,"£40,000 to less than £50,000",17.7
Asian/Asian British,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,"£50,000 or more",19.7
Asian/Asian British,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,No income stated/Not enough information provided ,13.4
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,"Less than £10,000",16.2
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,"£10,000 to less than £20,000",17.4
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,"£20,000 to less than £30,000",18.8
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,"£30,000 to less than £40,000",16.0
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,"£40,000 to less than £50,000",19.9
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,"£50,000 or more",24.8
Black/African/Caribbean/Black British,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,No income stated/Not enough information provided ,15.2
Other,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,"Less than £10,000",15.1
Other,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,"£10,000 to less than £20,000",10.1
Other,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,"£20,000 to less than £30,000",18.0
Other,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,"£30,000 to less than £40,000",22.9
Other,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,"£40,000 to less than £50,000",17.8
Other,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,"£50,000 or more",16.4
Other,"2014/15, 2015/16 and 2016/17",England and Wales,All,16+,All,No income stated/Not enough information provided ,14.5
All,2015/16,England and Wales,All,16+,All,All,15.2
White British,2015/16,England and Wales,All,16+,All,All,14.6
White Irish,2015/16,England and Wales,All,16+,All,All,17.3
Gypsy or Irish Traveller,2015/16,England and Wales,All,16+,All,All,?
Any other White background,2015/16,England and Wales,All,16+,All,All,16.4
Mixed White and Black Caribbean,2015/16,England and Wales,All,16+,All,All,20.5
Mixed White and Black African,2015/16,England and Wales,All,16+,All,All,?
Mixed White and Asian,2015/16,England and Wales,All,16+,All,All,16.1
Any other Mixed/Multiple ethnic background,2015/16,England and Wales,All,16+,All,All,25.9
Indian,2015/16,England and Wales,All,16+,All,All,17.7
Pakistani,2015/16,England and Wales,All,16+,All,All,22.5
Bangladeshi,2015/16,England and Wales,All,16+,All,All,15.2
Chinese,2015/16,England and Wales,All,16+,All,All,16.4
Any other Asian background,2015/16,England and Wales,All,16+,All,All,15.3
Black African,2015/16,England and Wales,All,16+,All,All,18.5
Black Caribbean,2015/16,England and Wales,All,16+,All,All,15.8
Any other Black background,2015/16,England and Wales,All,16+,All,All,30.9
Arab,2015/16,England and Wales,All,16+,All,All,10.0
Any other ethnic group,2015/16,England and Wales,All,16+,All,All,21.2
Asian,2015/16,England and Wales,All,16+,All,All,18.2
All,2015/16,England and Wales,All,16-24,All,All,21.4
All,2015/16,England and Wales,All,25-34,All,All,19.6
All,2015/16,England and Wales,All,35-44,All,All,16.8
All,2015/16,England and Wales,All,45-54,All,All,16.5
All,2015/16,England and Wales,All,55-64,All,All,12.8
All,2015/16,England and Wales,All,65-74,All,All,8.8
All,2015/16,England and Wales,All,75+,All,All,5.5
All,2015/16,England and Wales,Male,16+,All,All,15.6
All,2015/16,England and Wales,Female,16+,All,All,14.9
All,2015/16,England and Wales,All,16+,Managerial and professional occupations,All,15.7
All,2015/16,England and Wales,All,16+,Intermediate occupations,All,14.3
All,2015/16,England and Wales,All,16+,Routine and manual occupations,All,14.6
All,2015/16,England and Wales,All,16+,Never worked and long-term unemployed,All,14.1
All,2015/16,England and Wales,All,16+,Full time students,All,19.8
All,2015/16,England and Wales,All,16+,Not classified,All,13.2
All,2015/16,England and Wales,All,16+,All,"Less than £10,000",14.4
All,2015/16,England and Wales,All,16+,All,"£10,000 to less than £20,000",13.8
All,2015/16,England and Wales,All,16+,All,"£20,000 to less than £30,000",14.7
All,2015/16,England and Wales,All,16+,All,"£30,000 to less than £40,000",15.5
All,2015/16,England and Wales,All,16+,All,"£40,000 to less than £50,000",16.6
All,2015/16,England and Wales,All,16+,All,"£50,000 or more",17.3
All,2015/16,England and Wales,All,16+,All,No income stated/Not enough information provided ,14.0
Black,2015/16,England and Wales,All,16+,All,All,18.6
Mixed,2015/16,England and Wales,All,16+,All,All,21.4
Other ,2015/16,England and Wales,All,16+,All,All,17.0
White,2015/16,England and Wales,All,16+,All,All,14.7
White British,2016/17,England and Wales,All,16+,All,All,13.6
White Irish,2016/17,England and Wales,All,16+,All,All,9.7
Gypsy or Irish traveller,2016/17,England and Wales,All,16+,All,All,?
Any other White background,2016/17,England and Wales,All,16+,All,All,14.2
Mixed White and Black Caribbean,2016/17,England and Wales,All,16+,All,All,20.2
Mixed White and Black African,2016/17,England and Wales,All,16+,All,All,13.5
Mixed White and Asian,2016/17,England and Wales,All,16+,All,All,17.4
Any other Mixed/Multiple ethnic background,2016/17,England and Wales,All,16+,All,All,29.3
Indian,2016/17,England and Wales,All,16+,All,All,14.7
Pakistani,2016/17,England and Wales,All,16+,All,All,15.7
Bangladeshi,2016/17,England and Wales,All,16+,All,All,19.3
Chinese,2016/17,England and Wales,All,16+,All,All,13.3
Any other Asian background,2016/17,England and Wales,All,16+,All,All,12.5
Black African,2016/17,England and Wales,All,16+,All,All,17.0
Black Caribbean,2016/17,England and Wales,All,16+,All,All,14.3
Any other Black background,2016/17,England and Wales,All,16+,All,All,22.2
Arab,2016/17,England and Wales,All,16+,All,All,18.0
Any other ethnic group,2016/17,England and Wales,All,16+,All,All,12.1
All,2016/17,England and Wales,All,16+,All,All,13.9
Asian,2016/17,England and Wales,All,16+,All,All,14.9
Black,2016/17,England and Wales,All,16+,All,All,16.6
All,2016/17,England and Wales,All,16-24,All,All,19.6
All,2016/17,England and Wales,All,25-34,All,All,16.4
All,2016/17,England and Wales,All,35-44,All,All,16.1
All,2016/17,England and Wales,All,45-54,All,All,16.2
All,2016/17,England and Wales,All,55-64,All,All,12.0
All,2016/17,England and Wales,All,65-74,All,All,7.8
All,2016/17,England and Wales,All,75+,All,All,4.9
All,2016/17,England and Wales,Male,16+,All,All,14.2
All,2016/17,England and Wales,Female,16+,All,All,13.7
All,2016/17,England and Wales,All,16+,Managerial and professional occupations,All,14.0
All,2016/17,England and Wales,All,16+,Intermediate occupations,All,13.5
All,2016/17,England and Wales,All,16+,Routine and manual occupations,All,13.4
All,2016/17,England and Wales,All,16+,Never worked and long-term unemployed,All,15.1
All,2016/17,England and Wales,All,16+,Full time students,All,18.2
All,2016/17,England and Wales,All,16+,Not classified,All,6.1
All,2016/17,England and Wales,All,16+,All,"Less than £10,000",13.9
All,2016/17,England and Wales,All,16+,All,"£10,000 to less than £20,000",13.4
All,2016/17,England and Wales,All,16+,All,"£20,000 to less than £30,000",13.8
